date,frequencia,price
2016-09-09,2568,147.78699376947
2016-09-10,2569,147.973141300117
2016-09-11,2569,140.810042818217
2016-09-12,2572,140.55832037325
2016-09-13,2570,140.489105058366
2016-09-14,2571,140.584597432905
2016-09-15,2571,141.981719175418
2016-09-16,2575,147.830291262136
2016-09-17,2578,147.817300232739
2016-09-18,2578,140.380527540729
2016-09-19,2580,139.967441860465
2016-09-20,2581,139.862068965517
2016-09-21,2584,139.820820433437
2016-09-22,2596,141.204160246533
2016-09-23,2601,146.968858131488
2016-09-24,2603,146.958509412217
2016-09-25,2607,139.978135788262
2016-09-26,2607,139.530878404296
2016-09-27,2609,139.488309697202
2016-09-28,2611,139.493297587131
2016-09-29,2613,139.621125143513
2016-09-30,2619,145.644902634593
2016-10-01,2622,143.560640732265
2016-10-02,2643,135.139992432841
2016-10-03,2647,135.037778617303
2016-10-04,2647,134.933131847374
2016-10-05,2647,134.862108046845
2016-10-06,2649,136.462061155153
2016-10-07,2653,142.609875612514
2016-10-08,2653,142.953637391632
2016-10-09,2652,135.414404223228
2016-10-10,2650,134.985660377358
2016-10-11,2650,134.89358490566
2016-10-12,2653,134.92951375801
2016-10-13,2653,135.939313984169
2016-10-14,2658,142.169676448457
2016-10-15,2658,142.203912716328
2016-10-16,2657,134.704177643959
2016-10-17,2658,134.675319789315
2016-10-18,2660,134.644360902256
2016-10-19,2660,134.706766917293
2016-10-20,2663,135.694705219677
2016-10-21,2667,141.809523809524
2016-10-22,2668,141.885682158921
2016-10-23,2667,134.5808023997
2016-10-24,2670,134.479400749064
2016-10-25,2668,134.517616191904
2016-10-26,2670,134.508239700375
2016-10-27,2672,135.232035928144
2016-10-28,2677,141.487485991782
2016-10-29,2681,141.408056695263
2016-10-30,2682,133.931021625653
2016-10-31,2683,133.689526649273
2016-11-01,2687,133.453293636025
2016-11-02,2690,133.502602230483
2016-11-03,2694,134.391239792131
2016-11-04,2697,140.631813125695
2016-11-05,2698,140.663083765752
2016-11-06,2710,133.272324723247
2016-11-07,2710,133.115498154982
2016-11-08,2711,133.072298045002
2016-11-09,2712,133.044247787611
2016-11-10,2712,133.823377581121
2016-11-11,2718,140.070272259014
2016-11-12,2722,140.148420279206
2016-11-13,2722,133.382806759736
2016-11-14,2724,133.377019089574
2016-11-15,2725,133.617247706422
