id,host_since,tempoHost,review_scores_rating,price$,diferencaUltimoReview,binTempo
3626162,2013-03-27,3,96.0,66.0,2,host_medio
456040,2011-07-09,5,96.0,55.0,3,host_antigo
9033154,2015-10-21,1,NULL,350.0,NULL,host_novo
4340838,2014-01-24,2,98.0,85.0,0,host_medio
808811,2012-11-26,4,90.0,175.0,2,host_antigo
7368030,2015-07-15,1,80.0,105.0,0,host_novo
522287,2012-06-07,4,95.0,55.0,3,host_antigo
1940787,2013-07-23,3,97.0,150.0,1,host_medio
3732103,2011-10-03,5,93.0,40.0,1,host_antigo
43373,2010-08-02,6,93.0,59.0,6,host_antigo
5126365,2012-02-07,4,73.0,80.0,0,host_antigo
7182584,2011-09-04,5,80.0,200.0,0,host_antigo
5325214,2012-11-26,4,91.0,60.0,0,host_antigo
2710274,2013-12-02,3,93.0,59.0,1,host_medio
5128160,2015-01-22,1,100.0,575.0,0,host_novo
3424114,2011-10-03,5,93.0,40.0,0,host_antigo
2776890,2013-06-03,3,92.0,139.0,1,host_medio
4521755,2014-10-22,2,95.0,70.0,0,host_medio
3456599,2012-08-15,4,94.0,85.0,1,host_antigo
8207848,2015-04-13,1,NULL,259.0,0,host_novo
10249527,2015-10-15,1,NULL,39.0,NULL,host_novo
1252740,2012-07-14,4,97.0,70.0,2,host_antigo
4250938,2011-03-08,5,90.0,166.0,0,host_antigo
3791920,2012-05-09,4,97.0,99.0,1,host_antigo
4258762,2014-10-03,2,92.0,110.0,1,host_medio
7364146,2012-05-16,4,97.0,100.0,0,host_antigo
6765045,2012-07-30,4,88.0,250.0,0,host_antigo
3193738,2012-10-26,4,90.0,150.0,0,host_antigo
8765219,2014-11-22,2,100.0,200.0,0,host_medio
8174285,2011-09-29,5,80.0,95.0,0,host_antigo
3403638,2011-10-03,5,84.0,40.0,1,host_antigo
7601333,2013-07-02,3,92.0,215.0,0,host_medio
6707735,2012-02-20,4,97.0,110.0,0,host_antigo
7322718,2015-07-13,1,80.0,249.0,0,host_novo
3783162,2014-08-03,2,97.0,295.0,1,host_medio
6606,2009-04-26,7,93.0,90.0,6,host_antigo
3889280,2011-10-03,5,NULL,40.0,NULL,host_antigo
3971137,2014-08-26,2,88.0,85.0,0,host_medio
3889050,2011-10-03,5,80.0,40.0,1,host_antigo
799882,2012-11-12,4,96.0,40.0,3,host_antigo
9508386,2010-07-29,6,100.0,245.0,0,host_antigo
6714817,2015-06-06,1,90.0,130.0,0,host_novo
3773700,2012-02-27,4,93.0,210.0,1,host_antigo
3773568,2014-07-25,2,91.0,439.0,1,host_medio
9313974,2012-03-03,4,NULL,90.0,NULL,host_antigo
6492880,2013-02-10,3,90.0,95.0,0,host_medio
4879013,2013-04-27,3,99.0,109.0,1,host_medio
