room_type,beds,bed_type,bathrooms,bedrooms,accommodates,review_scores_rating,taxa_de_limpeza,host_is_superhost
Private room,1.0,Real Bed,1.0,1.0,2,94.0,25.0,f
Private room,2.0,Real Bed,1.0,1.0,4,97.0,30.0,t
Private room,1.0,Real Bed,1.0,1.0,2,92.0,NULL,f
Private room,1.0,Real Bed,1.0,1.0,2,94.0,45.0,f
Private room,1.0,Pull-out Sofa,1.0,1.0,1,NULL,NULL,f
Entire home/apt,2.0,Real Bed,1.0,0.0,4,NULL,50.0,f
Entire home/apt,4.0,Real Bed,1.0,3.0,6,95.0,NULL,f
Entire home/apt,1.0,Real Bed,1.5,1.0,2,100.0,75.0,t
Private room,1.0,Real Bed,0.5,1.0,2,NULL,NULL,f
Entire home/apt,3.0,Real Bed,1.0,1.0,4,100.0,75.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,NULL,NULL,f
Entire home/apt,2.0,Real Bed,2.0,2.0,4,93.0,NULL,t
Private room,1.0,Real Bed,1.0,1.0,1,NULL,10.0,f
Entire home/apt,3.0,Real Bed,1.0,2.0,6,NULL,NULL,f
Entire home/apt,1.0,Real Bed,1.5,1.0,2,98.0,60.0,f
Entire home/apt,3.0,Real Bed,1.0,1.0,4,NULL,NULL,f
Entire home/apt,3.0,Real Bed,4.0,3.0,7,NULL,300.0,f
Entire home/apt,2.0,Real Bed,1.5,2.0,5,95.0,75.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,98.0,95.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,96.0,50.0,f
Entire home/apt,2.0,Real Bed,2.0,2.0,4,98.0,75.0,f
Entire home/apt,1.0,Futon,1.0,1.0,2,97.0,10.0,t
Entire home/apt,5.0,Real Bed,2.5,3.0,8,100.0,264.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,1,NULL,NULL,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,98.0,100.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,80.0,100.0,f
Private room,1.0,Real Bed,1.0,1.0,2,97.0,NULL,f
Entire home/apt,4.0,Real Bed,2.5,3.0,6,96.0,100.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,3,98.0,45.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,97.0,45.0,t
Entire home/apt,4.0,Real Bed,1.0,2.0,5,100.0,75.0,t
Entire home/apt,4.0,Real Bed,1.5,3.0,6,100.0,180.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,99.0,60.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,4,95.0,NULL,t
Entire home/apt,2.0,Real Bed,2.0,2.0,5,100.0,50.0,f
Private room,1.0,Futon,1.0,1.0,2,95.0,NULL,t
Entire home/apt,2.0,Real Bed,1.0,1.0,2,97.0,30.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,95.0,50.0,f
Private room,1.0,Real Bed,1.0,1.0,2,98.0,55.0,f
Entire home/apt,5.0,Real Bed,3.0,3.0,5,100.0,150.0,f
Private room,1.0,Real Bed,1.0,1.0,3,100.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,0.0,3,100.0,25.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,92.0,NULL,f
Private room,1.0,Real Bed,1.5,1.0,2,NULL,25.0,f
Entire home/apt,2.0,Real Bed,1.5,2.0,5,94.0,90.0,t
Entire home/apt,3.0,Real Bed,1.5,2.0,6,94.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,NULL,NULL,f
Entire home/apt,2.0,Real Bed,3.0,2.0,5,96.0,120.0,t
Entire home/apt,2.0,Real Bed,1.0,2.0,3,91.0,40.0,f
Private room,1.0,Real Bed,1.0,1.0,2,94.0,NULL,f
Entire home/apt,5.0,Real Bed,2.5,4.0,8,97.0,200.0,t
Entire home/apt,1.0,Futon,1.0,1.0,2,97.0,10.0,t
Private room,1.0,Real Bed,1.0,1.0,2,96.0,15.0,t
Entire home/apt,1.0,Real Bed,1.0,0.0,2,95.0,35.0,f
Entire home/apt,1.0,Futon,1.0,1.0,2,98.0,25.0,t
Private room,1.0,Real Bed,1.0,1.0,3,90.0,7.0,t
Entire home/apt,2.0,Real Bed,2.5,3.0,4,90.0,85.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,85.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,96.0,50.0,t
